transaction_id,transaction_qty,product_id,unit_price,product_category,product_type,product_detail,total_payment,transaction_datetime
1,2,32,3.0,Coffee,Gourmet Brewed Coffee,Ethiopia Regular,6.0,2023-01-01 07:06:11
2,2,57,3.1,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Large,6.2,2023-01-01 07:08:56
3,2,59,4.5,Drinking Chocolate,Hot Chocolate,Dark Chocolate Large,9.0,2023-01-01 07:14:04
4,1,22,2.0,Coffee,Drip Coffee,Our Old Time Diner Blend Small,2.0,2023-01-01 07:20:24
5,2,57,3.1,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Large,6.2,2023-01-01 07:22:41
6,1,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,2023-01-01 07:22:41
7,1,22,2.0,Coffee,Drip Coffee,Our Old Time Diner Blend Small,2.0,2023-01-01 07:25:49
8,2,28,2.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Small,4.0,2023-01-01 07:33:34
9,1,39,4.25,Coffee,Barista Espresso,Latte Regular,4.25,2023-01-01 07:39:13
10,2,58,3.5,Drinking Chocolate,Hot Chocolate,Dark Chocolate Regular,7.0,2023-01-01 07:39:34
11,1,56,2.55,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Regular,2.55,2023-01-01 07:43:05
12,2,33,3.5,Coffee,Gourmet Brewed Coffee,Ethiopia Large,7.0,2023-01-01 07:44:35
13,1,51,3.0,Tea,Brewed Black Tea,Earl Grey Large,3.0,2023-01-01 07:45:51
14,1,57,3.1,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Large,3.1,2023-01-01 07:48:19
15,2,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro Shot,6.0,2023-01-01 07:52:36
16,2,47,3.0,Tea,Brewed Green Tea,Serenity Green Tea Large,6.0,2023-01-01 07:59:58
17,1,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2023-01-01 07:59:58
22,2,56,2.55,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Regular,5.1,2023-01-01 08:24:26
23,1,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,2023-01-01 08:24:26
26,1,43,3.0,Tea,Brewed Herbal Tea,Lemon Grass Large,3.0,2023-01-01 08:33:08
27,1,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,2023-01-01 08:33:08
28,2,45,3.0,Tea,Brewed Herbal Tea,Peppermint Large,6.0,2023-01-01 08:35:03
29,1,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2023-01-01 08:35:03
32,1,26,3.0,Coffee,Organic Brewed Coffee,Brazilian Regular,3.0,2023-01-01 08:52:32
33,2,27,3.5,Coffee,Organic Brewed Coffee,Brazilian Large,7.0,2023-01-01 08:54:33
34,2,29,2.5,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Regular,5.0,2023-01-01 08:56:27
36,1,26,3.0,Coffee,Organic Brewed Coffee,Brazilian Regular,3.0,2023-01-01 08:58:55
37,1,55,4.0,Tea,Brewed Chai Tea,Morning Sunrise Chai Large,4.0,2023-01-01 09:00:12
42,2,60,3.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Regular,7.5,2023-01-01 09:10:30
43,1,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,2023-01-01 09:10:30
44,1,56,2.55,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Regular,2.55,2023-01-01 09:11:06
45,1,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,2023-01-01 09:11:06
46,1,44,2.5,Tea,Brewed Herbal Tea,Peppermint Regular,2.5,2023-01-01 09:13:01
47,2,56,2.55,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Regular,5.1,2023-01-01 09:13:15
48,1,48,2.5,Tea,Brewed Black Tea,English Breakfast Regular,2.5,2023-01-01 09:14:16
52,2,47,3.0,Tea,Brewed Green Tea,Serenity Green Tea Large,6.0,2023-01-01 09:15:09
53,2,43,3.0,Tea,Brewed Herbal Tea,Lemon Grass Large,6.0,2023-01-01 09:15:13
54,2,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,4.4,2023-01-01 09:19:21
56,1,38,3.75,Coffee,Barista Espresso,Latte,3.75,2023-01-01 09:21:08
58,1,34,2.45,Coffee,Premium Brewed Coffee,Jamaican Coffee River Small,2.45,2023-01-01 09:22:46
63,1,41,4.25,Coffee,Barista Espresso,Cappuccino Large,4.25,2023-01-01 09:40:13
64,2,45,3.0,Tea,Brewed Herbal Tea,Peppermint Large,6.0,2023-01-01 09:41:22
65,1,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2023-01-01 09:41:22
66,2,54,2.5,Tea,Brewed Chai Tea,Morning Sunrise Chai Regular,5.0,2023-01-01 09:44:20
67,1,24,3.0,Coffee,Drip Coffee,Our Old Time Diner Blend Large,3.0,2023-01-01 09:44:46
68,2,37,3.0,Coffee,Barista Espresso,Espresso Shot,6.0,2023-01-01 09:46:46
70,2,37,3.0,Coffee,Barista Espresso,Espresso Shot,6.0,2023-01-01 09:50:44
71,1,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,2023-01-01 09:50:44
72,1,50,2.5,Tea,Brewed Black Tea,Earl Grey Regular,2.5,2023-01-01 09:52:58
77,1,23,2.5,Coffee,Drip Coffee,Our Old Time Diner Blend Regular,2.5,2023-01-01 09:54:46
78,2,43,3.0,Tea,Brewed Herbal Tea,Lemon Grass Large,6.0,2023-01-01 09:55:16
82,1,26,3.0,Coffee,Organic Brewed Coffee,Brazilian Regular,3.0,2023-01-01 10:14:49
83,1,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2023-01-01 10:14:49
84,2,32,3.0,Coffee,Gourmet Brewed Coffee,Ethiopia Regular,6.0,2023-01-01 10:16:30
87,2,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,4.4,2023-01-01 10:18:52
88,2,23,2.5,Coffee,Drip Coffee,Our Old Time Diner Blend Regular,5.0,2023-01-01 10:19:42
91,2,58,3.5,Drinking Chocolate,Hot Chocolate,Dark Chocolate Regular,7.0,2023-01-01 10:25:45
92,1,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,2023-01-01 10:25:45
94,1,35,3.1,Coffee,Premium Brewed Coffee,Jamaican Coffee River Regular,3.1,2023-01-01 10:30:07
95,1,70,3.25,Bakery,Scone,Cranberry Scone,3.25,2023-01-01 10:30:07
97,1,59,4.5,Drinking Chocolate,Hot Chocolate,Dark Chocolate Large,4.5,2023-01-01 10:41:53
98,2,36,3.75,Coffee,Premium Brewed Coffee,Jamaican Coffee River Large,7.5,2023-01-01 10:47:53
100,2,61,4.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Large,9.5,2023-01-01 10:49:51
101,1,47,3.0,Tea,Brewed Green Tea,Serenity Green Tea Large,3.0,2023-01-01 10:51:17
104,1,38,3.75,Coffee,Barista Espresso,Latte,3.75,2023-01-01 10:56:14
105,1,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,2023-01-01 10:56:14
109,2,47,3.0,Tea,Brewed Green Tea,Serenity Green Tea Large,6.0,2023-01-01 11:03:25
110,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-01 11:03:25
121,2,51,3.0,Tea,Brewed Black Tea,Earl Grey Large,6.0,2023-01-01 11:21:04
124,2,60,3.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Regular,7.5,2023-01-01 11:23:43
125,1,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,2023-01-01 11:23:43
127,2,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2023-01-01 11:25:37
130,2,56,2.55,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Regular,5.1,2023-01-01 11:29:25
135,2,51,3.0,Tea,Brewed Black Tea,Earl Grey Large,6.0,2023-01-01 11:31:43
136,1,72,3.25,Bakery,Scone,Ginger Scone,3.25,2023-01-01 11:31:43
137,2,54,2.5,Tea,Brewed Chai Tea,Morning Sunrise Chai Regular,5.0,2023-01-01 11:31:53
138,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-01 11:31:53
139,1,60,3.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Regular,3.75,2023-01-01 11:39:14
140,1,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2023-01-01 11:39:14
143,1,38,3.75,Coffee,Barista Espresso,Latte,3.75,2023-01-01 11:44:09
150,2,45,3.0,Tea,Brewed Herbal Tea,Peppermint Large,6.0,2023-01-01 11:50:58
152,1,57,3.1,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Large,3.1,2023-01-01 11:52:31
157,1,29,2.5,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Regular,2.5,2023-01-01 12:00:20
166,1,46,2.5,Tea,Brewed Green Tea,Serenity Green Tea Regular,2.5,2023-01-01 12:06:29
168,1,43,3.0,Tea,Brewed Herbal Tea,Lemon Grass Large,3.0,2023-01-01 12:08:21
172,2,38,3.75,Coffee,Barista Espresso,Latte,7.5,2023-01-01 12:13:07
175,2,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,4.4,2023-01-01 12:18:07
179,2,41,4.25,Coffee,Barista Espresso,Cappuccino Large,8.5,2023-01-01 12:27:06
184,2,31,2.2,Coffee,Gourmet Brewed Coffee,Ethiopia Small,4.4,2023-01-01 12:35:53
201,1,61,4.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Large,4.75,2023-01-01 12:51:57
202,1,72,3.25,Bakery,Scone,Ginger Scone,3.25,2023-01-01 12:51:57
203,1,56,2.55,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Regular,2.55,2023-01-01 12:52:18
204,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-01 12:52:18
208,1,57,3.1,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Large,3.1,2023-01-01 12:55:27
209,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-01 12:55:27
216,2,30,3.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Large,6.0,2023-01-01 13:00:38
217,2,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,4.4,2023-01-01 13:01:33
228,2,24,3.0,Coffee,Drip Coffee,Our Old Time Diner Blend Large,6.0,2023-01-01 13:07:37
230,2,30,3.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Large,6.0,2023-01-01 13:12:03
231,1,60,3.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Regular,3.75,2023-01-01 13:13:09
241,1,23,2.5,Coffee,Drip Coffee,Our Old Time Diner Blend Regular,2.5,2023-01-01 13:22:11
244,2,60,3.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Regular,7.5,2023-01-01 13:24:29
245,2,31,2.2,Coffee,Gourmet Brewed Coffee,Ethiopia Small,4.4,2023-01-01 13:30:49
246,2,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,4.4,2023-01-01 13:32:07
247,1,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro Shot,3.0,2023-01-01 13:32:34
251,1,51,3.0,Tea,Brewed Black Tea,Earl Grey Large,3.0,2023-01-01 13:39:41
255,1,36,3.75,Coffee,Premium Brewed Coffee,Jamaican Coffee River Large,3.75,2023-01-01 13:42:49
256,1,52,2.5,Tea,Brewed Chai Tea,Traditional Blend Chai Regular,2.5,2023-01-01 13:42:58
257,1,72,3.25,Bakery,Scone,Ginger Scone,3.25,2023-01-01 13:42:58
